epoch,train_loss,val_loss
1,0.9666720628738403,0.980511486530304
2,0.9411380390326182,0.968713641166687
3,0.9206584791342417,0.9547460079193115
4,0.8962381581465403,0.9372573494911194
5,0.867053026954333,0.9160006642341614
6,0.8346525629361471,0.8942665457725525
7,0.8024376928806305,0.8753518462181091
8,0.7730723271767298,0.8611897826194763
9,0.7464098980029424,0.8489981889724731
10,0.7193459471066793,0.8325914740562439
11,0.6909892360369364,0.8110116720199585
12,0.6634396761655807,0.7851869463920593
