dataset,model,n_estimators,max_depth,min_samples_leaf,val_mae,val_rmse,val_mape,val_r2,val_bias_pred_minus_actual
appliances,RandomForest_tuned_candidate,30,5.0,2,21.87663960145269,35.11038250080518,23.32042064341127,0.40910870621446516,-0.375658734767552
appliances,RandomForest_tuned_candidate,60,8.0,2,22.054830079612604,35.222189700366094,23.610646287397003,0.40533938854748086,-0.20119503172085645
appliances,RandomForest_tuned_candidate,80,12.0,2,22.255111170699944,35.15279746785207,23.950377940339898,0.40768019582070913,0.3735485812818735
appliances,RandomForest_tuned_candidate,80,,3,21.871288637230432,34.843647475832256,23.493482701183275,0.41805265399571756,0.40721271331325576
co2,RandomForest_tuned_candidate,30,5.0,2,32.87111683932528,40.45516635723189,6.480281069328779,0.08993797689939886,13.230624127073403
co2,RandomForest_tuned_candidate,60,8.0,2,31.807965987842685,39.362928624411246,6.2655339302917,0.13841562511657557,11.847172718571658
co2,RandomForest_tuned_candidate,80,12.0,2,32.363384431471985,40.23975305379092,6.375825886151457,0.09960386408241584,12.208986005343695
co2,RandomForest_tuned_candidate,80,,3,32.27211519704493,40.25204801184968,6.353890889647238,0.0990535613038872,11.889151288306143
