created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2027-10-02 00:00:00,0.6069495384503001,5.87,827.54,2.0,23.4,18.5
2027-10-03 00:00:00,0.6296842019105664,5.87,817.48,2.0,23.4,21.52
2027-10-04 00:00:00,0.830588284452255,5.88,807.51,2.0,23.3,24.68
2027-10-04 01:00:00,0.558211096566365,5.87,807.1,2.0,23.4,21.1
2027-10-04 02:00:00,0.585654647256342,5.88,806.68,2.0,23.3,24.1
2027-10-05 00:00:00,0.6068120768009687,5.86,798.59,2.0,23.3,21.69
2027-10-06 00:00:00,0.5616916679089713,5.88,790.6,2.0,23.3,18.51
2027-10-07 00:00:00,0.5953350214498699,5.89,781.05,2.0,23.3,18.77
2027-10-08 00:00:00,0.5604405034899848,5.88,772.33,2.0,23.3,20.76
2027-10-09 00:00:00,0.5678702295001038,5.87,764.45,2.0,23.3,22.87
2027-10-10 00:00:00,0.5807077431301808,5.86,756.87,2.0,23.3,21.09
2027-10-11 00:00:00,0.7498256547720379,5.86,750.54,2.0,23.3,24.61
2027-10-12 00:00:00,0.6376688455732193,5.87,744.11,2.0,23.3,19.39
2027-10-13 00:00:00,0.6086266937500187,5.85,738.81,2.0,23.3,21.07
2027-10-14 00:00:00,0.6154985683718761,5.82,734.87,2.0,23.3,22.22
2027-10-15 00:00:00,0.5718391829588719,5.84,730.1,2.0,23.3,21.95
2027-10-16 00:00:00,0.6187897855605736,5.84,726.88,2.0,23.2,20.48
2027-10-17 00:00:00,0.5929681396882529,5.83,723.56,2.0,23.2,22.02
2027-10-18 00:00:00,0.6974452970630347,5.82,719.72,2.0,23.2,19.97
2027-10-19 00:00:00,0.5959678498526412,5.84,716.6,2.0,23.2,22.87
2027-10-20 00:00:00,0.5913889744451118,5.85,713.18,2.0,23.2,19.16
2027-10-21 00:00:00,0.5767610908139976,5.85,709.76,2.0,23.2,18.88
2027-10-22 00:00:00,0.5745751005620322,5.84,706.95,2.0,23.2,23.19
2027-10-23 00:00:00,0.6096663013398709,5.85,703.42,2.0,23.3,18.6
2027-10-24 00:00:00,0.6941708336203408,5.82,700.42,2.0,23.3,18.21
2027-10-25 00:00:00,0.838142297833408,5.81,698.03,2.0,23.2,18.73
2027-10-25 01:00:00,0.6124186515829907,5.81,697.61,2.0,23.3,23.65
2027-10-26 00:00:00,0.6385465349020155,5.85,694.71,2.0,23.3,22.97
2027-10-27 00:00:00,0.6266268161806756,5.8,693.05,2.0,23.2,20.31
2027-10-28 00:00:00,0.5996929300454467,5.81,690.45,2.0,23.2,20.07
2027-10-29 00:00:00,0.6119457498135753,5.8,688.27,2.0,23.2,18.05
2027-10-30 00:00:00,0.6351670937776118,5.79,686.09,2.0,23.2,23.98
2027-10-31 00:00:00,0.722301521530927,5.77,684.54,2.0,23.3,19.33
2027-11-01 00:00:00,0.9601707803008515,5.79,682.25,2.0,23.2,22.52
2027-11-01 01:00:00,0.7378193120279051,5.8,682.15,2.0,23.3,20.95
2027-11-01 02:00:00,0.7078770124144725,5.8,682.25,2.0,23.3,24.81
2027-11-01 03:00:00,0.6676152579727377,5.79,682.05,2.0,23.3,18.24
2027-11-01 04:00:00,0.5865661293050538,5.8,681.63,2.0,23.3,22.75
2027-11-02 00:00:00,0.739263693653177,5.77,680.39,2.0,23.3,23.67
