event_id,image_id,timestamp,event_type,severity,class_name,confidence,rule_used,explanation,action_hint,annotated_image_path
evt_6eb7a8b0a9,img_551c969269,2026-06-15T09:16:36,OBJECT_DETECTED,NORMAL,visual_object,0.9376,generic_object_rule,At least one object was detected above the confidence threshold.,Display annotated image on dashboard; do not trigger actuator without a safety rule.,data/annotated_images/img_551c969269_detected.jpg
evt_ca5a3b64ab,img_936102c404,2026-06-16T11:48:31,LOW_CONFIDENCE_REVIEW,WARNING,frisbee,0.3897,low_confidence_rule,Detected object has low confidence; human review is recommended.,Display annotated image on dashboard; do not trigger actuator without a safety rule.,data\annotated_images\img_936102c404_detected.jpg
evt_e83cb616a2,img_79f0aa27be,2026-06-17T21:49:48,PERSON_DETECTED,WARNING,person,0.8056,person_rule,"A person was detected. In AIoT, this can become a visual event for monitoring.",Display annotated image on dashboard; do not trigger actuator without a safety rule.,data\annotated_images\img_79f0aa27be_detected.jpg
evt_c2bc122748,img_7d750c8af0,2026-06-17T21:52:08,NO_OBJECT_DETECTED,NORMAL,,0,no_object_rule,No object was detected above the selected confidence threshold.,Display annotated image on dashboard; do not trigger actuator without a safety rule.,data\annotated_images\img_7d750c8af0_detected.jpg
evt_41a9eceaec,img_7c74d9e10b,2026-06-17T21:52:46,NO_OBJECT_DETECTED,NORMAL,,0,no_object_rule,No object was detected above the selected confidence threshold.,Display annotated image on dashboard; do not trigger actuator without a safety rule.,data\annotated_images\img_7c74d9e10b_detected.jpg
evt_6c5ea03d11,img_3718bacdcf,2026-06-17T21:53:40,LOW_CONFIDENCE_REVIEW,WARNING,bus,0.4358,low_confidence_rule,Detected object has low confidence; human review is recommended.,Display annotated image on dashboard; do not trigger actuator without a safety rule.,data\annotated_images\img_3718bacdcf_detected.jpg
